id,days_with_hr,pct_days_covered
vVQnOm7RwTNWbpMB7IgN,64,98.5
6kVHCR22SGLsK4YC0YeM,64,98.5
1eJjxpj6WiCJ4FUdaWCw,64,98.5
EeTSKkNw03amapx06fy9,64,98.5
2MhXEYkWOJLoUbTQ2oOe,64,98.5
gQqdqi0cyd6QowISCMYe,64,98.5
VsVGqSabr41jktvT6gLN,64,98.5
H7UADUwy3br6HvHTUti0,64,98.5
7z3ustz5EnF7LMolNFXD,64,98.5
TeawxQVKn8IKZLs0UjoW,64,98.5
xmUwv4ktqWcxfGu9kjwC,64,98.5
D7ztGzWsNcXCjkpkH9O7,64,98.5
oageyXcGFYKSnyZGwVmS,64,98.5
pLVNGLsQBtGyQwo99cJG,64,98.5
DfgE795ypSnZzyuBlNNT,64,98.5
VmxG8sZ3CXzdnUljnPPC,64,98.5
tpSv5cFNAuAZocpVjtRq,64,98.5
oTRgfIq5kzMZWSKOA7gP,64,98.5
lzpjy5BrssoDpOqbdefi,64,98.5
Ohb0TKzIBmhz3jYZJ4Eq,64,98.5
uZniV5j84lqkhauqzW0H,64,98.5
ElFiNRydnOOTWXJaUXrk,64,98.5
Bn8ry07xklgiLaf91MqF,64,98.5
XrpORwShj6Qit9Aq4hS1,64,98.5
eSFsS3zCT4ut8tyXi6k4,64,98.5
TRoLztbeWobe57Etdnif,64,98.5
sQ2Liyz6oglVZwmXUpqD,63,96.9
Zqm5epVrcyI44hGpTO2c,63,96.9
sILWMetHezvT76YfI1G5,63,96.9
k70sygMtUNxqzzcxJPoV,63,96.9
nxzATvdfwQozwIKgrYZT,62,95.4
yzEyOooxIdiVzKFPNnMM,62,95.4
O7gJjdBvBXpMezaXUlbR,60,92.3
kAHdVVh3apB1b7IxFEQI,59,90.8
eu8A02K19NdVI9hISNwg,57,87.7
cXQqwEwIHUTYC3x6ESln,51,78.5
TQxEAP2h7ZW93YKzsM1u,51,78.5
9mwCJXfh16H5kXUwvHVW,49,75.4
uSl8CVo6O3S7z7jfsUvE,48,73.8
oo4LXfWtioyFbeePXsJm,46,70.8
n7y2Jw4TEEHXX3LFTTbC,40,61.5
