id,hour_of_day,mean_hourly_steps
1eJjxpj6WiCJ4FUdaWCw,0,0.8
1eJjxpj6WiCJ4FUdaWCw,1,3.54
1eJjxpj6WiCJ4FUdaWCw,2,3.23
1eJjxpj6WiCJ4FUdaWCw,3,4.65
1eJjxpj6WiCJ4FUdaWCw,4,11.22
1eJjxpj6WiCJ4FUdaWCw,5,15.46
1eJjxpj6WiCJ4FUdaWCw,6,16.66
1eJjxpj6WiCJ4FUdaWCw,7,670.94
1eJjxpj6WiCJ4FUdaWCw,8,235.34
1eJjxpj6WiCJ4FUdaWCw,9,330.45
1eJjxpj6WiCJ4FUdaWCw,10,1351.09
1eJjxpj6WiCJ4FUdaWCw,11,235.43
1eJjxpj6WiCJ4FUdaWCw,12,329.68
1eJjxpj6WiCJ4FUdaWCw,13,595.54
1eJjxpj6WiCJ4FUdaWCw,14,1627.63
1eJjxpj6WiCJ4FUdaWCw,15,2781.51
1eJjxpj6WiCJ4FUdaWCw,16,1070.62
1eJjxpj6WiCJ4FUdaWCw,17,583.94
1eJjxpj6WiCJ4FUdaWCw,18,380.83
1eJjxpj6WiCJ4FUdaWCw,19,571.2
1eJjxpj6WiCJ4FUdaWCw,20,214.28
1eJjxpj6WiCJ4FUdaWCw,21,158.92
1eJjxpj6WiCJ4FUdaWCw,22,245.48
1eJjxpj6WiCJ4FUdaWCw,23,176.95
2MhXEYkWOJLoUbTQ2oOe,0,20.78
2MhXEYkWOJLoUbTQ2oOe,1,19.34
2MhXEYkWOJLoUbTQ2oOe,2,10.32
2MhXEYkWOJLoUbTQ2oOe,3,13.28
2MhXEYkWOJLoUbTQ2oOe,4,9.83
2MhXEYkWOJLoUbTQ2oOe,5,9.54
2MhXEYkWOJLoUbTQ2oOe,6,26.17
2MhXEYkWOJLoUbTQ2oOe,7,43.08
2MhXEYkWOJLoUbTQ2oOe,8,96.86
2MhXEYkWOJLoUbTQ2oOe,9,362.17
2MhXEYkWOJLoUbTQ2oOe,10,408.71
2MhXEYkWOJLoUbTQ2oOe,11,368.62
2MhXEYkWOJLoUbTQ2oOe,12,548.28
2MhXEYkWOJLoUbTQ2oOe,13,841.28
2MhXEYkWOJLoUbTQ2oOe,14,733.26
2MhXEYkWOJLoUbTQ2oOe,15,705.03
2MhXEYkWOJLoUbTQ2oOe,16,524.4
2MhXEYkWOJLoUbTQ2oOe,17,604.63
2MhXEYkWOJLoUbTQ2oOe,18,443.12
2MhXEYkWOJLoUbTQ2oOe,19,435.49
2MhXEYkWOJLoUbTQ2oOe,20,427.62
2MhXEYkWOJLoUbTQ2oOe,21,241.12
2MhXEYkWOJLoUbTQ2oOe,22,101.68
2MhXEYkWOJLoUbTQ2oOe,23,43.78
6kVHCR22SGLsK4YC0YeM,0,0.22
6kVHCR22SGLsK4YC0YeM,1,0.12
6kVHCR22SGLsK4YC0YeM,2,0.09
6kVHCR22SGLsK4YC0YeM,3,0.77
6kVHCR22SGLsK4YC0YeM,4,0.52
6kVHCR22SGLsK4YC0YeM,5,0.0
6kVHCR22SGLsK4YC0YeM,6,1.51
6kVHCR22SGLsK4YC0YeM,7,73.37
6kVHCR22SGLsK4YC0YeM,8,237.14
6kVHCR22SGLsK4YC0YeM,9,244.92
6kVHCR22SGLsK4YC0YeM,10,309.2
6kVHCR22SGLsK4YC0YeM,11,221.46
6kVHCR22SGLsK4YC0YeM,12,277.37
6kVHCR22SGLsK4YC0YeM,13,289.95
6kVHCR22SGLsK4YC0YeM,14,280.15
6kVHCR22SGLsK4YC0YeM,15,234.98
6kVHCR22SGLsK4YC0YeM,16,252.09
6kVHCR22SGLsK4YC0YeM,17,243.49
6kVHCR22SGLsK4YC0YeM,18,233.23
6kVHCR22SGLsK4YC0YeM,19,214.22
6kVHCR22SGLsK4YC0YeM,20,224.48
6kVHCR22SGLsK4YC0YeM,21,166.31
6kVHCR22SGLsK4YC0YeM,22,41.43
6kVHCR22SGLsK4YC0YeM,23,11.77
7z3ustz5EnF7LMolNFXD,0,63.15
7z3ustz5EnF7LMolNFXD,1,29.35
7z3ustz5EnF7LMolNFXD,2,18.09
7z3ustz5EnF7LMolNFXD,3,25.54
7z3ustz5EnF7LMolNFXD,4,14.22
7z3ustz5EnF7LMolNFXD,5,19.4
7z3ustz5EnF7LMolNFXD,6,115.12
7z3ustz5EnF7LMolNFXD,7,370.97
7z3ustz5EnF7LMolNFXD,8,904.83
7z3ustz5EnF7LMolNFXD,9,978.08
7z3ustz5EnF7LMolNFXD,10,2012.15
7z3ustz5EnF7LMolNFXD,11,488.22
7z3ustz5EnF7LMolNFXD,12,446.69
7z3ustz5EnF7LMolNFXD,13,252.98
7z3ustz5EnF7LMolNFXD,14,433.43
7z3ustz5EnF7LMolNFXD,15,348.57
7z3ustz5EnF7LMolNFXD,16,467.42
7z3ustz5EnF7LMolNFXD,17,432.46
7z3ustz5EnF7LMolNFXD,18,442.52
7z3ustz5EnF7LMolNFXD,19,338.06
7z3ustz5EnF7LMolNFXD,20,969.58
7z3ustz5EnF7LMolNFXD,21,995.74
7z3ustz5EnF7LMolNFXD,22,450.92
7z3ustz5EnF7LMolNFXD,23,166.85
9mwCJXfh16H5kXUwvHVW,0,45.98
9mwCJXfh16H5kXUwvHVW,1,14.86
9mwCJXfh16H5kXUwvHVW,2,20.02
9mwCJXfh16H5kXUwvHVW,3,14.28
9mwCJXfh16H5kXUwvHVW,4,23.17
9mwCJXfh16H5kXUwvHVW,5,33.38
9mwCJXfh16H5kXUwvHVW,6,79.17
9mwCJXfh16H5kXUwvHVW,7,171.75
9mwCJXfh16H5kXUwvHVW,8,64.37
9mwCJXfh16H5kXUwvHVW,9,82.4
9mwCJXfh16H5kXUwvHVW,10,201.17
9mwCJXfh16H5kXUwvHVW,11,108.25
9mwCJXfh16H5kXUwvHVW,12,162.28
9mwCJXfh16H5kXUwvHVW,13,161.68
9mwCJXfh16H5kXUwvHVW,14,110.42
9mwCJXfh16H5kXUwvHVW,15,219.71
9mwCJXfh16H5kXUwvHVW,16,246.71
9mwCJXfh16H5kXUwvHVW,17,110.63
9mwCJXfh16H5kXUwvHVW,18,237.31
9mwCJXfh16H5kXUwvHVW,19,110.29
9mwCJXfh16H5kXUwvHVW,20,140.06
9mwCJXfh16H5kXUwvHVW,21,72.37
9mwCJXfh16H5kXUwvHVW,22,74.45
9mwCJXfh16H5kXUwvHVW,23,48.78
Bn8ry07xklgiLaf91MqF,0,301.15
Bn8ry07xklgiLaf91MqF,1,90.88
Bn8ry07xklgiLaf91MqF,2,28.65
Bn8ry07xklgiLaf91MqF,3,36.14
Bn8ry07xklgiLaf91MqF,4,59.82
Bn8ry07xklgiLaf91MqF,5,396.38
Bn8ry07xklgiLaf91MqF,6,1479.58
Bn8ry07xklgiLaf91MqF,7,1251.86
Bn8ry07xklgiLaf91MqF,8,1336.09
Bn8ry07xklgiLaf91MqF,9,1238.78
Bn8ry07xklgiLaf91MqF,10,1611.6
